"reporting_level"|"reporting_level_description"
"C"|"country"
"CL"|"country (only land)"
"CM"|"country (only marine)"
"E"|"ecoregion"
"ET"|"terrestrial ecoregion"
"EM"|"marine ecoregion"
"P"|"protected area"
"PT"|"protected area terrestrial"
"PC"|"protected area coastal"
"PTC"|"protected area terrestrial and coastal"
"B"|"buffer of protected area"
"BT"|"buffer of protected area terrestrial"
"BC"|"buffer of protected area coastal"
"BTC"|"buffer of protected area terrestrial and coastal"
"BM"|"buffer of protected area marine"
"R"|"region"
"N"|"None"
"PM"|"protected area marine"
