"tid"|"theme"|"theme_description"|"stid"|"subtheme"|"subtheme_description"
100|"information"|NULL|101|"information_country"|NULL
100|"information"|NULL|102|"information_ecoregion"|NULL
100|"information"|NULL|103|"information_protected_area"|NULL
200|"conservation"|NULL|201|"conservation_coverage"|NULL
200|"conservation"|NULL|202|"conservation_connectivity"|NULL
200|"conservation"|NULL|203|"conservation_kba"|NULL
200|"conservation"|NULL|204|"conservation_mta"|NULL
300|"carbon"|NULL|301|"carbon_above_ground"|NULL
300|"carbon"|NULL|302|"carbon_below_ground"|NULL
300|"carbon"|NULL|303|"carbon_soil_organic"|NULL
300|"carbon"|NULL|304|"carbon_total"|NULL
400|"climate"|NULL|401|"climate_precipitation"|NULL
400|"climate"|NULL|402|"climate_temperature"|NULL
500|"elevation_profile"|NULL|500|"elevation_profile"|NULL
600|"global_forest_cover"|NULL|601|"global_forest_cover_gain"|NULL
600|"global_forest_cover"|NULL|602|"global_forest_cover_loss"|NULL
600|"global_forest_cover"|NULL|603|"global_forest_cover_treecover"|NULL
700|"habitat_diversity_profile"|NULL|701|"habitat_diversity_profile_thdi"|NULL
700|"habitat_diversity_profile"|NULL|702|"habitat_diversity_profile_mhdi"|NULL
800|"land_cover"|NULL|801|"land_cover_copernicus"|NULL
800|"land_cover"|NULL|805|"land_cover_esa"|NULL
900|"land_degradation"|NULL|901|"land_degradation"|NULL
1000|"land_fragmentation"|NULL|1001|"land_fragmentation"|NULL
1100|"pressure"|NULL|1101|"pressure_agriculture"|NULL
1100|"pressure"|NULL|1102|"pressure_built-up"|NULL
1100|"pressure"|NULL|1103|"pressure_livestock"|NULL
1100|"pressure"|NULL|1105|"pressure_population"|NULL
1100|"pressure"|NULL|1106|"pressure_road"|NULL
1200|"species"|NULL|1201|"species"|NULL
1300|"water_surface_inland"|NULL|1301|"water_surface_inland"|NULL
